stateabbr,statedesc,locationname,measureid,measure,category,data_value,indicator_90th_percentile
GA,Georgia,Twiggs,STROKE,Stroke among adults,Health Outcomes,4.1,4.1
AR,Arkansas,Searcy,MHLTH,Frequent mental distress among adults,Health Status,22.1,21.0
AL,Alabama,Escambia,ARTHRITIS,Arthritis among adults,Health Outcomes,29.2,28.0
AL,Alabama,Winston,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.4,9.1
AL,Alabama,Escambia,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,29.9,26.2
AL,Alabama,Pike,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.2,34.8
AR,Arkansas,Phillips,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,29.6,22.1
AR,Arkansas,Desha,BPHIGH,High blood pressure among adults,Health Outcomes,46.7,39.8
AL,Alabama,Butler,SELFCARE,Self-care disability among adults,Disability,5.5,5.4
AR,Arkansas,St. Francis,DISABILITY,Any disability among adults,Disability,43.4,39.4
AL,Alabama,Bibb,HEARING,Hearing disability among adults,Disability,8.4,8.2
AL,Alabama,Sumter,DISABILITY,Any disability among adults,Disability,40.4,39.4
AR,Arkansas,Lawrence,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,34.8,34.3
AR,Arkansas,Drew,OBESITY,Obesity among adults,Health Outcomes,45.0,43.0
AR,Arkansas,Arkansas,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,30.5,29.0
AL,Alabama,Wilcox,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,29.0,20.2
AL,Alabama,Dallas,STROKE,Stroke among adults,Health Outcomes,5.2,4.1
AL,Alabama,Clarke,OBESITY,Obesity among adults,Health Outcomes,44.2,43.0
AR,Arkansas,Nevada,CHD,Coronary heart disease among adults,Health Outcomes,7.4,7.0
AR,Arkansas,Greene,DISABILITY,Any disability among adults,Disability,39.8,39.4
AL,Alabama,Lauderdale,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.0,34.8
AR,Arkansas,Clark,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.5,42.3
AL,Alabama,Lowndes,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,32.6,29.0
AL,Alabama,Choctaw,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,14.3,14.3
AL,Alabama,Barbour,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,63.9,62.5
AR,Arkansas,Cross,CHD,Coronary heart disease among adults,Health Outcomes,7.2,7.0
AL,Alabama,Franklin,MOBILITY,Mobility disability among adults,Disability,17.8,17.75
AR,Arkansas,Chicot,INDEPLIVE,Independent living disability among adults,Disability,12.9,11.6
AL,Alabama,Greene,DISABILITY,Any disability among adults,Disability,46.6,39.4
AZ,Arizona,Santa Cruz,GHLTH,Fair or poor self-rated health status among adults,Health Status,26.9,26.9
AL,Alabama,Lowndes,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,66.9,62.5
AL,Alabama,Monroe,CHD,Coronary heart disease among adults,Health Outcomes,7.1,7.0
AK,Alaska,Lake and Peninsula,HEARING,Hearing disability among adults,Disability,10.1,8.2
AK,Alaska,Bethel,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,21.9,13.4
AZ,Arizona,Navajo,VISION,Vision disability among adults,Disability,8.5,7.6
AL,Alabama,Bullock,STROKE,Stroke among adults,Health Outcomes,6.2,4.1
AR,Arkansas,Fulton,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,21.4,20.8
AL,Alabama,Sumter,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,29.8,24.0
AR,Arkansas,Franklin,COGNITION,Cognitive disability among adults,Disability,21.2,20.4
AZ,Arizona,Apache,MOBILITY,Mobility disability among adults,Disability,19.5,17.75
AR,Arkansas,Searcy,COGNITION,Cognitive disability among adults,Disability,22.6,20.4
AL,Alabama,Bullock,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,18.2,17.1
AL,Alabama,Monroe,GHLTH,Fair or poor self-rated health status among adults,Health Status,28.7,26.9
AR,Arkansas,Sevier,VISION,Vision disability among adults,Disability,8.3,7.6
AL,Alabama,Choctaw,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.6,78.9
AK,Alaska,Kusilvak,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,24.9,14.3
AR,Arkansas,Marion,CHD,Coronary heart disease among adults,Health Outcomes,7.0,7.0
AL,Alabama,Bullock,GHLTH,Fair or poor self-rated health status among adults,Health Status,37.8,26.9
AL,Alabama,Monroe,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,29.2,29.0
CA,California,Merced,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,18.3,17.1
AR,Arkansas,Woodruff,CHD,Coronary heart disease among adults,Health Outcomes,7.4,7.0
AR,Arkansas,Lee,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,26.1,20.2
AR,Arkansas,Miller,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,62.6,62.5
AR,Arkansas,Izard,DISABILITY,Any disability among adults,Disability,41.5,39.4
AR,Arkansas,Poinsett,DISABILITY,Any disability among adults,Disability,41.2,39.4
AL,Alabama,Monroe,STROKE,Stroke among adults,Health Outcomes,4.5,4.1
AR,Arkansas,Ashley,GHLTH,Fair or poor self-rated health status among adults,Health Status,29.2,26.9
AL,Alabama,Escambia,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,15.4,14.3
AL,Alabama,Perry,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,24.0,14.3
AR,Arkansas,Ouachita,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,35.8,34.3
AL,Alabama,Geneva,CHD,Coronary heart disease among adults,Health Outcomes,7.0,7.0
AR,Arkansas,Phillips,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,22.8,14.3
AR,Arkansas,Phillips,MHLTH,Frequent mental distress among adults,Health Status,22.4,21.0
AR,Arkansas,Desha,DIABETES,Diagnosed diabetes among adults,Health Outcomes,17.1,14.2
AL,Alabama,Conecuh,ARTHRITIS,Arthritis among adults,Health Outcomes,30.0,28.0
AR,Arkansas,Desha,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,36.6,26.2
AR,Arkansas,St. Francis,SLEEP,Short sleep duration among adults,Health Risk Behaviors,47.3,42.3
AL,Alabama,Lowndes,SELFCARE,Self-care disability among adults,Disability,7.9,5.4
AR,Arkansas,Dallas,BPHIGH,High blood pressure among adults,Health Outcomes,41.3,39.8
AR,Arkansas,Clay,MHLTH,Frequent mental distress among adults,Health Status,21.1,21.0
AK,Alaska,Lake and Peninsula,CASTHMA,Current asthma among adults,Health Outcomes,12.5,11.8
AL,Alabama,Geneva,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,36.2,34.8
AL,Alabama,Pickens,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,14.5,14.3
AR,Arkansas,Lee,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,64.1,62.5
AL,Alabama,Wilcox,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,81.1,78.9
AR,Arkansas,Woodruff,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,37.7,34.3
AL,Alabama,Sumter,BPHIGH,High blood pressure among adults,Health Outcomes,49.1,39.8
AR,Arkansas,Desha,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,21.7,14.3
AR,Arkansas,Nevada,STROKE,Stroke among adults,Health Outcomes,4.4,4.1
AR,Arkansas,Desha,OBESITY,Obesity among adults,Health Outcomes,46.6,43.0
AL,Alabama,Clarke,DIABETES,Diagnosed diabetes among adults,Health Outcomes,14.9,14.2
AR,Arkansas,Chicot,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,34.1,29.0
AR,Arkansas,Phillips,ARTHRITIS,Arthritis among adults,Health Outcomes,29.3,28.0
AL,Alabama,Barbour,BPHIGH,High blood pressure among adults,Health Outcomes,45.4,39.8
AR,Arkansas,Ashley,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,15.4,14.3
AR,Arkansas,Sevier,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,40.0,34.3
AL,Alabama,Winston,HEARING,Hearing disability among adults,Disability,8.9,8.2
AL,Alabama,Dallas,INDEPLIVE,Independent living disability among adults,Disability,13.8,11.6
AL,Alabama,Russell,MOBILITY,Mobility disability among adults,Disability,18.0,17.75
AR,Arkansas,Crittenden,MOBILITY,Mobility disability among adults,Disability,19.3,17.75
AR,Arkansas,Chicot,VISION,Vision disability among adults,Disability,8.9,7.6
AL,Alabama,Butler,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,29.8,29.0
AR,Arkansas,Ashley,CHD,Coronary heart disease among adults,Health Outcomes,7.3,7.0
AR,Arkansas,Sharp,DEPRESSION,Depression among adults,Health Outcomes,28.4,28.4
CA,California,Lassen,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,29.0,29.0
AK,Alaska,Yukon-Koyukuk,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,18.4,13.4
AL,Alabama,Conecuh,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,36.6,34.3
AL,Alabama,Escambia,DISABILITY,Any disability among adults,Disability,42.0,39.4
AR,Arkansas,Union,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,34.5,34.3
AL,Alabama,Russell,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.3,42.3
AL,Alabama,Pike,ARTHRITIS,Arthritis among adults,Health Outcomes,28.4,28.0
AL,Alabama,Bibb,OBESITY,Obesity among adults,Health Outcomes,43.7,43.0
AR,Arkansas,Lafayette,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,10.3,9.1
AR,Arkansas,Crittenden,DIABETES,Diagnosed diabetes among adults,Health Outcomes,14.8,14.2
AL,Alabama,Marengo,OBESITY,Obesity among adults,Health Outcomes,43.2,43.0
AL,Alabama,Shelby,CHOLSCREEN,Cholesterol screening among adults,Prevention,86.7,85.9
AR,Arkansas,Ashley,BPHIGH,High blood pressure among adults,Health Outcomes,42.1,39.8
AL,Alabama,Greene,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,36.2,34.8
AZ,Arizona,Navajo,STROKE,Stroke among adults,Health Outcomes,4.2,4.1
AR,Arkansas,Phillips,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,34.5,29.0
AR,Arkansas,Conway,COGNITION,Cognitive disability among adults,Disability,20.7,20.4
AL,Alabama,Bullock,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,21.8,13.4
AL,Alabama,DeKalb,DISABILITY,Any disability among adults,Disability,40.2,39.4
AR,Arkansas,Poinsett,MHLTH,Frequent mental distress among adults,Health Status,21.9,21.0
AL,Alabama,Sumter,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,34.1,26.2
AK,Alaska,Bethel,STROKE,Stroke among adults,Health Outcomes,5.4,4.1
AL,Alabama,Montgomery,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,82.0,78.9
AR,Arkansas,Woodruff,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.6,9.1
CA,California,Madera,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,14.2,13.4
AZ,Arizona,Apache,DIABETES,Diagnosed diabetes among adults,Health Outcomes,15.3,14.2
AZ,Arizona,Santa Cruz,VISION,Vision disability among adults,Disability,9.0,7.6
AR,Arkansas,Van Buren,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.4,9.1
AL,Alabama,Dallas,VISION,Vision disability among adults,Disability,9.3,7.6
CA,California,Kings,GHLTH,Fair or poor self-rated health status among adults,Health Status,28.1,26.9
AR,Arkansas,Johnson,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,28.1,24.0
AK,Alaska,Kusilvak,BPHIGH,High blood pressure among adults,Health Outcomes,41.5,39.8
AR,Arkansas,Desha,STROKE,Stroke among adults,Health Outcomes,5.2,4.1
AK,Alaska,Bethel,COGNITION,Cognitive disability among adults,Disability,21.8,20.4
AL,Alabama,Perry,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,41.9,26.2
AR,Arkansas,Monroe,OBESITY,Obesity among adults,Health Outcomes,43.7,43.0
AL,Alabama,Coffee,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.1,34.8
AK,Alaska,Bethel,DIABETES,Diagnosed diabetes among adults,Health Outcomes,14.7,14.2
AL,Alabama,Greene,PHLTH,Frequent physical distress among adults,Health Status,18.0,16.4
AK,Alaska,Northwest Arctic,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,28.6,20.8
AR,Arkansas,Woodruff,VISION,Vision disability among adults,Disability,7.6,7.6
AL,Alabama,Lowndes,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,37.0,22.1
AL,Alabama,Perry,BPHIGH,High blood pressure among adults,Health Outcomes,51.9,39.8
AR,Arkansas,Bradley,SELFCARE,Self-care disability among adults,Disability,5.6,5.4
AK,Alaska,Kusilvak,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,45.8,26.2
AK,Alaska,Dillingham,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,31.6,29.0
AL,Alabama,Macon,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,34.8,34.3
AR,Arkansas,Randolph,MHLTH,Frequent mental distress among adults,Health Status,21.9,21.0
AR,Arkansas,Fulton,DEPRESSION,Depression among adults,Health Outcomes,28.8,28.4
AL,Alabama,Conecuh,PHLTH,Frequent physical distress among adults,Health Status,16.6,16.4
AL,Alabama,Marengo,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,29.5,29.0
AR,Arkansas,Nevada,SELFCARE,Self-care disability among adults,Disability,5.7,5.4
AL,Alabama,Greene,CHD,Coronary heart disease among adults,Health Outcomes,8.2,7.0
AL,Alabama,Clarke,LONELINESS,Loneliness among adults,Health-Related Social Needs,40.1,38.1
AK,Alaska,Yukon-Koyukuk,VISION,Vision disability among adults,Disability,9.1,7.6
AL,Alabama,Monroe,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.4,34.8
AR,Arkansas,Lonoke,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.0,34.8
AR,Arkansas,St. Francis,LONELINESS,Loneliness among adults,Health-Related Social Needs,38.1,38.1
CA,California,Merced,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,13.8,13.4
AR,Arkansas,Searcy,GHLTH,Fair or poor self-rated health status among adults,Health Status,27.9,26.9
AR,Arkansas,Izard,HEARING,Hearing disability among adults,Disability,8.9,8.2
AL,Alabama,Choctaw,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,22.4,22.1
AR,Arkansas,Hempstead,LONELINESS,Loneliness among adults,Health-Related Social Needs,38.2,38.1
CA,California,Imperial,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,31.3,26.2
AR,Arkansas,Monroe,DIABETES,Diagnosed diabetes among adults,Health Outcomes,14.3,14.2
AL,Alabama,Clay,BPHIGH,High blood pressure among adults,Health Outcomes,40.6,39.8
AR,Arkansas,Lee,MHLTH,Frequent mental distress among adults,Health Status,21.2,21.0
AR,Arkansas,Ouachita,BPHIGH,High blood pressure among adults,Health Outcomes,42.7,39.8
AL,Alabama,Escambia,PHLTH,Frequent physical distress among adults,Health Status,16.8,16.4
AL,Alabama,Walker,ARTHRITIS,Arthritis among adults,Health Outcomes,28.5,28.0
AL,Alabama,Pickens,INDEPLIVE,Independent living disability among adults,Disability,11.8,11.6
AL,Alabama,Monroe,VISION,Vision disability among adults,Disability,7.8,7.6
AR,Arkansas,Johnson,PHLTH,Frequent physical distress among adults,Health Status,16.8,16.4
AR,Arkansas,Cross,OBESITY,Obesity among adults,Health Outcomes,44.8,43.0
AR,Arkansas,St. Francis,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,26.1,24.0
AR,Arkansas,Mississippi,GHLTH,Fair or poor self-rated health status among adults,Health Status,27.8,26.9
AR,Arkansas,Chicot,LONELINESS,Loneliness among adults,Health-Related Social Needs,38.3,38.1
AL,Alabama,Lowndes,SLEEP,Short sleep duration among adults,Health Risk Behaviors,49.5,42.3
AR,Arkansas,Mississippi,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,31.9,29.0
AR,Arkansas,Ashley,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,26.5,26.2
AL,Alabama,Dallas,CHD,Coronary heart disease among adults,Health Outcomes,7.2,7.0
AR,Arkansas,Ashley,STROKE,Stroke among adults,Health Outcomes,4.2,4.1
AL,Alabama,Sumter,ARTHRITIS,Arthritis among adults,Health Outcomes,29.8,28.0
AK,Alaska,Bethel,GHLTH,Fair or poor self-rated health status among adults,Health Status,32.7,26.9
CA,California,Kings,VISION,Vision disability among adults,Disability,7.9,7.6
AL,Alabama,Wilcox,COGNITION,Cognitive disability among adults,Disability,22.1,20.4
AR,Arkansas,Jackson,INDEPLIVE,Independent living disability among adults,Disability,12.5,11.6
AR,Arkansas,Phillips,BPHIGH,High blood pressure among adults,Health Outcomes,49.0,39.8
AL,Alabama,Conecuh,DISABILITY,Any disability among adults,Disability,42.6,39.4
AL,Alabama,Russell,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,36.4,34.8
AL,Alabama,Tallapoosa,ARTHRITIS,Arthritis among adults,Health Outcomes,28.4,28.0
AL,Alabama,DeKalb,PHLTH,Frequent physical distress among adults,Health Status,16.4,16.4
AR,Arkansas,Carroll,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,34.5,34.3
AL,Alabama,Dallas,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,36.7,34.8
AR,Arkansas,Mississippi,OBESITY,Obesity among adults,Health Outcomes,46.7,43.0
AR,Arkansas,Jefferson,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,18.1,14.3
AR,Arkansas,Nevada,GHLTH,Fair or poor self-rated health status among adults,Health Status,29.0,26.9
AR,Arkansas,Miller,COGNITION,Cognitive disability among adults,Disability,21.1,20.4
AL,Alabama,Macon,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,25.5,24.0
AR,Arkansas,Cross,COGNITION,Cognitive disability among adults,Disability,21.6,20.4
AR,Arkansas,Lafayette,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,40.4,34.3
AR,Arkansas,Dallas,SLEEP,Short sleep duration among adults,Health Risk Behaviors,45.8,42.3
AL,Alabama,Perry,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,67.9,62.5
AL,Alabama,Dale,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,36.7,34.8
AR,Arkansas,Nevada,VISION,Vision disability among adults,Disability,7.9,7.6
AR,Arkansas,Monroe,VISION,Vision disability among adults,Disability,7.7,7.6
AL,Alabama,Barbour,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.3,78.9
AR,Arkansas,Monroe,GHLTH,Fair or poor self-rated health status among adults,Health Status,28.9,26.9
AR,Arkansas,Ashley,ARTHRITIS,Arthritis among adults,Health Outcomes,28.1,28.0
AR,Arkansas,Ouachita,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,15.5,14.3
AR,Arkansas,Bradley,BPHIGH,High blood pressure among adults,Health Outcomes,42.9,39.8
AR,Arkansas,Phillips,DIABETES,Diagnosed diabetes among adults,Health Outcomes,17.2,14.2
AL,Alabama,Greene,GHLTH,Fair or poor self-rated health status among adults,Health Status,36.0,26.9
AR,Arkansas,Crittenden,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,32.9,29.0
AR,Arkansas,Lincoln,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,32.6,29.0
AL,Alabama,Shelby,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64.9,63.1
AR,Arkansas,Izard,PHLTH,Frequent physical distress among adults,Health Status,16.8,16.4
AR,Arkansas,Van Buren,MHLTH,Frequent mental distress among adults,Health Status,21.3,21.0
AL,Alabama,Dallas,OBESITY,Obesity among adults,Health Outcomes,46.5,43.0
AR,Arkansas,Columbia,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,63.2,62.5
AL,Alabama,Montgomery,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,14.3,14.3
AL,Alabama,Marengo,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,64.8,62.5
AR,Arkansas,Jefferson,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,37.0,34.3
AK,Alaska,Dillingham,CHD,Coronary heart disease among adults,Health Outcomes,7.3,7.0
AK,Alaska,Bethel,VISION,Vision disability among adults,Disability,11.1,7.6
AK,Alaska,Nome,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,28.7,20.8
AZ,Arizona,La Paz,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,30.4,29.0
AL,Alabama,Lowndes,LONELINESS,Loneliness among adults,Health-Related Social Needs,40.3,38.1
CA,California,Madera,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,22.8,20.2
AK,Alaska,Kusilvak,ARTHRITIS,Arthritis among adults,Health Outcomes,28.4,28.0
CA,California,Imperial,PHLTH,Frequent physical distress among adults,Health Status,17.0,16.4
AL,Alabama,Madison,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,79.3,78.9
AR,Arkansas,Desha,VISION,Vision disability among adults,Disability,10.3,7.6
AL,Alabama,Conecuh,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,17.7,14.3
AZ,Arizona,Apache,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,36.3,29.0
AR,Arkansas,Lawrence,OBESITY,Obesity among adults,Health Outcomes,44.1,43.0
AR,Arkansas,Nevada,DIABETES,Diagnosed diabetes among adults,Health Outcomes,14.2,14.2
AR,Arkansas,Montgomery,COGNITION,Cognitive disability among adults,Disability,20.6,20.4
AL,Alabama,Perry,DISABILITY,Any disability among adults,Disability,46.1,39.4
AR,Arkansas,Stone,DISABILITY,Any disability among adults,Disability,40.8,39.4
AZ,Arizona,Apache,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,23.1,20.8
AL,Alabama,Escambia,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.7,9.1
AL,Alabama,Conecuh,CHD,Coronary heart disease among adults,Health Outcomes,7.6,7.0
AR,Arkansas,Woodruff,GHLTH,Fair or poor self-rated health status among adults,Health Status,29.1,26.9
AL,Alabama,Marengo,SELFCARE,Self-care disability among adults,Disability,5.6,5.4
AL,Alabama,Wilcox,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,66.7,62.5
AR,Arkansas,Nevada,OBESITY,Obesity among adults,Health Outcomes,44.1,43.0
CA,California,Colusa,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,18.0,17.1
AL,Alabama,Lamar,ARTHRITIS,Arthritis among adults,Health Outcomes,28.1,28.0
AR,Arkansas,Monroe,SELFCARE,Self-care disability among adults,Disability,5.7,5.4
AR,Arkansas,Crittenden,SELFCARE,Self-care disability among adults,Disability,5.8,5.4
AL,Alabama,Marengo,DIABETES,Diagnosed diabetes among adults,Health Outcomes,16.1,14.2
AL,Alabama,Perry,ARTHRITIS,Arthritis among adults,Health Outcomes,31.6,28.0
AR,Arkansas,Desha,CHD,Coronary heart disease among adults,Health Outcomes,8.1,7.0
AK,Alaska,Nome,INDEPLIVE,Independent living disability among adults,Disability,12.7,11.6
CA,California,Merced,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,28.7,26.2
AL,Alabama,Hale,MOBILITY,Mobility disability among adults,Disability,19.6,17.75
AZ,Arizona,Santa Cruz,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,21.5,20.2
AK,Alaska,Yukon-Koyukuk,STROKE,Stroke among adults,Health Outcomes,4.7,4.1
AL,Alabama,Hale,INDEPLIVE,Independent living disability among adults,Disability,12.8,11.6
AL,Alabama,Bullock,VISION,Vision disability among adults,Disability,11.9,7.6
AL,Alabama,Hale,SLEEP,Short sleep duration among adults,Health Risk Behaviors,44.9,42.3
AL,Alabama,Lowndes,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,28.8,24.0
AL,Alabama,Wilcox,STROKE,Stroke among adults,Health Outcomes,5.5,4.1
AR,Arkansas,St. Francis,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,24.9,22.1
AR,Arkansas,Monroe,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,32.1,29.0
AR,Arkansas,Lafayette,MHLTH,Frequent mental distress among adults,Health Status,22.4,21.0
AL,Alabama,Pickens,DIABETES,Diagnosed diabetes among adults,Health Outcomes,15.2,14.2
AR,Arkansas,Phillips,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,21.8,20.8
AL,Alabama,Escambia,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,63.4,62.5
AL,Alabama,Franklin,ARTHRITIS,Arthritis among adults,Health Outcomes,28.4,28.0
AL,Alabama,Clarke,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.0,34.8
AR,Arkansas,Searcy,HEARING,Hearing disability among adults,Disability,9.1,8.2
CA,California,Colusa,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,29.7,29.0
AL,Alabama,Cleburne,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,36.2,34.8
AK,Alaska,Yukon-Koyukuk,GHLTH,Fair or poor self-rated health status among adults,Health Status,28.9,26.9
AR,Arkansas,Ashley,DISABILITY,Any disability among adults,Disability,42.9,39.4
AL,Alabama,Walker,SLEEP,Short sleep duration among adults,Health Risk Behaviors,43.6,42.3
AR,Arkansas,Ouachita,MOBILITY,Mobility disability among adults,Disability,18.2,17.75
AL,Alabama,Henry,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,35.7,34.8
AR,Arkansas,Lee,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,41.2,34.3
AL,Alabama,Conecuh,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,32.8,26.2
AL,Alabama,Choctaw,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,64.0,62.5
AL,Alabama,Wilcox,GHLTH,Fair or poor self-rated health status among adults,Health Status,34.0,26.9
AL,Alabama,Choctaw,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,13.5,13.4
AK,Alaska,Hoonah-Angoon,HEARING,Hearing disability among adults,Disability,9.0,8.2
AR,Arkansas,Marion,MHLTH,Frequent mental distress among adults,Health Status,21.2,21.0
AL,Alabama,Perry,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,30.1,24.0
AK,Alaska,Kusilvak,MHLTH,Frequent mental distress among adults,Health Status,23.5,21.0
