stateabbr,statedesc,locationname,measureid,measure,category,data_value,indicator_90th_percentile
TN,Tennessee,Carroll,MHLTH,Frequent mental distress among adults,Health Status,21.8,21.0
SC,South Carolina,Marion,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,27.1,22.1
SD,South Dakota,Oglala Lakota,MHLTH,Frequent mental distress among adults,Health Status,24.5,21.0
SD,South Dakota,Corson,INDEPLIVE,Independent living disability among adults,Disability,15.5,11.6
OK,Oklahoma,Marshall,HEARING,Hearing disability among adults,Disability,9.2,8.2
OK,Oklahoma,Texas,HEARING,Hearing disability among adults,Disability,8.7,8.2
SC,South Carolina,Dillon,CHD,Coronary heart disease among adults,Health Outcomes,7.4,7.0
OK,Oklahoma,Latimer,HEARING,Hearing disability among adults,Disability,10.3,8.2
PA,Pennsylvania,Mercer,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,80.8,78.6
SC,South Carolina,Fairfield,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,22.5,20.2
SD,South Dakota,Brule,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.6,7.6
SC,South Carolina,Bamberg,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,14.0,13.4
OK,Oklahoma,Okfuskee,VISION,Vision disability among adults,Disability,8.6,7.6
TN,Tennessee,Carter,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,36.7,34.8
OK,Oklahoma,Tillman,OBESITY,Obesity among adults,Health Outcomes,44.2,43.0
TN,Tennessee,Clay,CHD,Coronary heart disease among adults,Health Outcomes,7.3,7.0
SC,South Carolina,Williamsburg,SELFCARE,Self-care disability among adults,Disability,6.0,5.4
SC,South Carolina,Marlboro,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,37.3,34.3
TN,Tennessee,Carter,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,9.4,9.1
SD,South Dakota,Dewey,GHLTH,Fair or poor self-rated health status among adults,Health Status,30.1,26.9
SD,South Dakota,Dewey,DISABILITY,Any disability among adults,Disability,41.6,39.4
TN,Tennessee,Cannon,DEPRESSION,Depression among adults,Health Outcomes,31.5,28.4
OK,Oklahoma,Okfuskee,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,26.7,22.1
SD,South Dakota,Edmunds,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.8,7.6
OR,Oregon,Columbia,DEPRESSION,Depression among adults,Health Outcomes,28.6,28.4
TN,Tennessee,Crockett,MHLTH,Frequent mental distress among adults,Health Status,21.4,21.0
TN,Tennessee,Clay,INDEPLIVE,Independent living disability among adults,Disability,12.1,11.6
SC,South Carolina,Hampton,INDEPLIVE,Independent living disability among adults,Disability,11.9,11.6
OK,Oklahoma,Sequoyah,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,23.5,22.1
SC,South Carolina,Williamsburg,DIABETES,Diagnosed diabetes among adults,Health Outcomes,16.3,14.2
SD,South Dakota,Mellette,VISION,Vision disability among adults,Disability,11.6,7.6
OK,Oklahoma,Muskogee,DISABILITY,Any disability among adults,Disability,44.3,39.4
SD,South Dakota,Lake,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,78.7,78.6
SC,South Carolina,Allendale,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,27.0,20.2
SC,South Carolina,Dillon,MOBILITY,Mobility disability among adults,Disability,20.6,17.75
OK,Oklahoma,Texas,VISION,Vision disability among adults,Disability,7.7,7.6
SC,South Carolina,Florence,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,78.6,78.6
OK,Oklahoma,Pushmataha,MOBILITY,Mobility disability among adults,Disability,20.0,17.75
SC,South Carolina,Richland,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,63.1,62.5
TN,Tennessee,Campbell,INDEPLIVE,Independent living disability among adults,Disability,11.8,11.6
SC,South Carolina,Marion,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,66.6,62.5
OK,Oklahoma,Seminole,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,36.7,34.3
TN,Tennessee,Cocke,GHLTH,Fair or poor self-rated health status among adults,Health Status,27.1,26.9
SD,South Dakota,Sully,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,67.8,67.4
OR,Oregon,Josephine,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.6,7.6
OK,Oklahoma,Le Flore,CASTHMA,Current asthma among adults,Health Outcomes,12.3,11.8
OK,Oklahoma,Okfuskee,MHLTH,Frequent mental distress among adults,Health Status,21.2,21.0
OK,Oklahoma,Haskell,MOBILITY,Mobility disability among adults,Disability,17.9,17.75
SC,South Carolina,Orangeburg,SELFCARE,Self-care disability among adults,Disability,5.9,5.4
SD,South Dakota,Oglala Lakota,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,43.8,24.0
SD,South Dakota,Tripp,HEARING,Hearing disability among adults,Disability,8.4,8.2
SD,South Dakota,Sanborn,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.6,7.6
SD,South Dakota,Buffalo,OBESITY,Obesity among adults,Health Outcomes,49.0,43.0
SD,South Dakota,Hanson,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.7,7.6
OK,Oklahoma,Ottawa,DISABILITY,Any disability among adults,Disability,41.8,39.4
RI,Rhode Island,Bristol,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.8,7.6
SC,South Carolina,Orangeburg,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,30.4,29.0
OK,Oklahoma,Lincoln,OBESITY,Obesity among adults,Health Outcomes,43.9,43.0
SD,South Dakota,Yankton,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.6,7.6
SC,South Carolina,Union,STROKE,Stroke among adults,Health Outcomes,4.4,4.1
TN,Tennessee,Bledsoe,DEPRESSION,Depression among adults,Health Outcomes,30.3,28.4
OR,Oregon,Benton,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,7.6,7.6
SD,South Dakota,Mellette,OBESITY,Obesity among adults,Health Outcomes,46.2,43.0
OK,Oklahoma,Pushmataha,DISABILITY,Any disability among adults,Disability,45.1,39.4
SC,South Carolina,Lee,STROKE,Stroke among adults,Health Outcomes,4.8,4.1
SC,South Carolina,Berkeley,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,66.5,63.1
SC,South Carolina,Marlboro,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,18.3,14.3
