stateabbr,statedesc,locationname,locationid,totalpopulation,indicator_count,indicator_completeness,health_burden_score,burden_percentile
AR,Arkansas,Ashley,5003,18262,11,1.0,1.4781977673719886,96.38024357239512
TX,Texas,Newton,48351,12039,11,1.0,1.4766851151852045,96.34641407307171
AL,Alabama,Barbour,1005,24585,11,1.0,1.4761053695576911,96.31258457374832
MO,Missouri,Dunklin,29069,27032,11,1.0,1.4731422413774609,96.2787550744249
OK,Oklahoma,Coal,40029,5266,11,1.0,1.4730977384268051,96.24492557510148
WV,West Virginia,Barbour,54001,15378,11,1.0,1.472721968244319,96.21109607577807
WV,West Virginia,Ritchie,54085,8167,11,1.0,1.464245437238073,96.17726657645468
GA,Georgia,Baker,13007,2743,11,1.0,1.4532808344870902,96.14343707713124
TN,Tennessee,Grundy,47061,13955,11,1.0,1.4531139914688964,96.10960757780784
MS,Mississippi,Lawrence,28077,11741,11,1.0,1.4525211005188965,96.07577807848445
LA,Louisiana,Washington,22117,44865,11,1.0,1.451341860881551,96.04194857916104
MS,Mississippi,Jefferson Davis,28065,10969,11,1.0,1.4501582099129544,96.0081190798376
AR,Arkansas,Nevada,5099,8120,11,1.0,1.450018772400757,95.9742895805142
AL,Alabama,Escambia,1053,36558,11,1.0,1.4480288047295424,95.9404600811908
TN,Tennessee,Cocke,47029,37404,11,1.0,1.4368709478367074,95.9066305818674
LA,Louisiana,Acadia,22001,56489,11,1.0,1.4366505624585133,95.87280108254396
AR,Arkansas,Jackson,5067,16784,11,1.0,1.4358308255991237,95.83897158322056
WV,West Virginia,Raleigh,54081,72356,11,1.0,1.4310980153737645,95.80514208389717
NC,North Carolina,Scotland,37165,34376,11,1.0,1.4273130638110796,95.77131258457376
OK,Oklahoma,Seminole,40133,23565,11,1.0,1.423203234470562,95.73748308525036
LA,Louisiana,Richland,22083,19712,11,1.0,1.4189514637327454,95.70365358592692
MS,Mississippi,Pike,28113,39394,11,1.0,1.4169358391514704,95.66982408660353
LA,Louisiana,Caldwell,22021,9389,11,1.0,1.4104965100158768,95.63599458728012
ND,North Dakota,Rolette,38079,11728,11,1.0,1.4082219582901914,95.6021650879567
LA,Louisiana,St. Mary,22101,47055,11,1.0,1.4068350202238105,95.56833558863327
WV,West Virginia,Pocahontas,54075,7765,11,1.0,1.403711581331328,95.53450608930989
WV,West Virginia,Boone,54005,20576,11,1.0,1.400325505747689,95.50067658998648
TX,Texas,Brooks,48047,6848,11,1.0,1.399356969690824,95.46684709066304
GA,Georgia,Turner,13287,8909,11,1.0,1.3987816955944488,95.43301759133963
OK,Oklahoma,Sequoyah,40135,40291,11,1.0,1.3983659776122954,95.39918809201625
MO,Missouri,Hickory,29085,8718,11,1.0,1.388446055514096,95.36535859269284
GA,Georgia,Ben Hill,13017,17128,11,1.0,1.3867978855154866,95.3315290933694
VA,Virginia,Hopewell,51670,22752,11,1.0,1.3832766017242124,95.297699594046
TN,Tennessee,Hardeman,47069,25567,11,1.0,1.3808945370445649,95.2638700947226
TN,Tennessee,Clay,47027,7714,11,1.0,1.3719432751325764,95.2300405953992
TN,Tennessee,Johnson,47091,18375,11,1.0,1.3565477519394715,95.19621109607576
OK,Oklahoma,Latimer,40077,9526,11,1.0,1.355868535423698,95.16238159675235
GA,Georgia,Calhoun,13037,5457,11,1.0,1.3547168183498028,95.12855209742897
TN,Tennessee,Fentress,47049,19696,11,1.0,1.352870280281347,95.09472259810556
AL,Alabama,Hale,1065,14888,11,1.0,1.348189105450338,95.06089309878216
TN,Tennessee,Perry,47135,8891,11,1.0,1.3480621267779254,95.02706359945871
