stateabbr,statedesc,measureid,measure,category,county_count,mean_prevalence,median_prevalence,min_prevalence,max_prevalence
AR,Arkansas,DEPRESSION,Depression among adults,Health Outcomes,75,25.95,26.1,21.9,28.8
AR,Arkansas,DIABETES,Diagnosed diabetes among adults,Health Outcomes,75,12.41,12.0,9.5,17.2
AR,Arkansas,DISABILITY,Any disability among adults,Disability,75,39.31,39.5,29.7,45.5
AR,Arkansas,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,75,28.76,27.8,24.8,35.4
AR,Arkansas,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,75,22.13,21.1,13.2,36.6
AR,Arkansas,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,75,14.85,13.9,6.6,29.6
AR,Arkansas,GHLTH,Fair or poor self-rated health status among adults,Health Status,75,25.88,25.5,18.8,34.8
AR,Arkansas,HEARING,Hearing disability among adults,Disability,75,7.9,8.0,6.3,9.1
AR,Arkansas,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,75,33.76,33.9,30.3,35.3
AR,Arkansas,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,75,17.2,15.7,11.3,27.6
AR,Arkansas,INDEPLIVE,Independent living disability among adults,Disability,75,10.95,10.8,7.3,15.0
AR,Arkansas,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,75,11.45,10.9,7.3,18.4
AR,Arkansas,LONELINESS,Loneliness among adults,Health-Related Social Needs,75,36.14,35.8,31.4,40.0
AR,Arkansas,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,75,34.26,34.4,25.4,44.3
AR,Arkansas,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,75,70.06,70.2,64.0,75.5
AR,Arkansas,MHLTH,Frequent mental distress among adults,Health Status,75,20.67,20.7,16.7,22.7
AR,Arkansas,MOBILITY,Mobility disability among adults,Disability,75,16.99,16.7,11.9,22.8
AR,Arkansas,OBESITY,Obesity among adults,Health Outcomes,75,41.1,40.6,34.4,48.6
AR,Arkansas,PHLTH,Frequent physical distress among adults,Health Status,75,16.0,16.1,12.3,18.9
AR,Arkansas,SELFCARE,Self-care disability among adults,Disability,75,4.79,4.6,3.0,7.5
AR,Arkansas,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,75,12.78,11.8,7.5,22.8
AR,Arkansas,SLEEP,Short sleep duration among adults,Health Risk Behaviors,75,41.12,41.1,34.0,50.5
AR,Arkansas,STROKE,Stroke among adults,Health Outcomes,75,3.78,3.7,2.7,5.2
AR,Arkansas,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,75,22.15,21.6,12.1,35.8
AR,Arkansas,VISION,Vision disability among adults,Disability,75,6.57,6.4,4.3,10.3
AZ,Arizona,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,15,15.58,14.3,10.4,26.5
AZ,Arizona,ARTHRITIS,Arthritis among adults,Health Outcomes,15,22.81,22.6,19.9,25.4
AZ,Arizona,BINGE,Binge drinking among adults,Health Risk Behaviors,15,16.5,16.7,13.2,19.1
AZ,Arizona,BPHIGH,High blood pressure among adults,Health Outcomes,15,30.65,31.0,27.0,35.3
AZ,Arizona,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,15,53.77,54.0,51.3,56.7
AZ,Arizona,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,15,6.87,7.1,5.4,7.7
AZ,Arizona,CASTHMA,Current asthma among adults,Health Outcomes,15,11.21,11.0,9.5,14.4
AZ,Arizona,CHD,Coronary heart disease among adults,Health Outcomes,15,5.86,5.9,5.0,7.8
AZ,Arizona,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,15,70.41,70.2,67.7,73.3
AZ,Arizona,CHOLSCREEN,Cholesterol screening among adults,Prevention,15,81.28,81.4,76.8,84.5
AZ,Arizona,COGNITION,Cognitive disability among adults,Disability,15,16.94,16.9,13.8,21.9
AZ,Arizona,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,15,49.88,49.9,45.1,56.4
AZ,Arizona,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,15,6.81,6.4,5.1,10.4
AZ,Arizona,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,15,14.67,13.4,11.0,23.1
AZ,Arizona,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,15,54.03,54.5,43.6,61.9
AZ,Arizona,DEPRESSION,Depression among adults,Health Outcomes,15,20.86,21.2,16.6,23.6
AZ,Arizona,DIABETES,Diagnosed diabetes among adults,Health Outcomes,15,10.99,10.6,8.0,15.3
AZ,Arizona,DISABILITY,Any disability among adults,Disability,15,33.62,33.3,28.1,42.6
AZ,Arizona,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,15,28.65,28.0,25.7,36.3
AZ,Arizona,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,15,20.99,18.5,13.8,35.0
AZ,Arizona,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,15,15.59,14.1,10.1,29.5
AZ,Arizona,GHLTH,Fair or poor self-rated health status among adults,Health Status,15,22.22,21.2,17.5,30.9
AZ,Arizona,HEARING,Hearing disability among adults,Disability,15,7.85,7.7,6.5,11.1
AZ,Arizona,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,15,31.44,31.1,28.6,34.5
AZ,Arizona,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,15,16.4,15.2,11.8,25.3
AZ,Arizona,INDEPLIVE,Independent living disability among adults,Disability,15,8.99,9.0,6.9,14.1
AZ,Arizona,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,15,11.37,10.1,8.0,20.4
AZ,Arizona,LONELINESS,Loneliness among adults,Health-Related Social Needs,15,32.93,32.5,30.3,35.5
AZ,Arizona,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,15,24.39,24.7,16.8,30.3
AZ,Arizona,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,15,66.47,65.4,58.0,75.0
AZ,Arizona,MHLTH,Frequent mental distress among adults,Health Status,15,17.74,17.4,15.3,22.3
AZ,Arizona,MOBILITY,Mobility disability among adults,Disability,15,13.91,13.9,11.5,19.5
AZ,Arizona,OBESITY,Obesity among adults,Health Outcomes,15,33.65,33.3,25.3,39.0
AZ,Arizona,PHLTH,Frequent physical distress among adults,Health Status,15,14.43,14.2,11.4,19.4
AZ,Arizona,SELFCARE,Self-care disability among adults,Disability,15,4.25,4.1,3.2,6.7
AZ,Arizona,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,15,10.74,9.9,6.9,19.9
AZ,Arizona,SLEEP,Short sleep duration among adults,Health Risk Behaviors,15,37.51,37.6,32.9,42.7
AZ,Arizona,STROKE,Stroke among adults,Health Outcomes,15,3.36,3.3,2.7,5.2
AZ,Arizona,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,15,17.38,16.9,10.3,29.6
AZ,Arizona,VISION,Vision disability among adults,Disability,15,6.68,6.0,4.6,11.3
CA,California,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,58,10.62,9.25,5.9,22.2
CA,California,ARTHRITIS,Arthritis among adults,Health Outcomes,58,20.53,20.65,15.5,24.1
CA,California,BINGE,Binge drinking among adults,Health Risk Behaviors,58,17.57,17.8,13.3,20.4
CA,California,BPHIGH,High blood pressure among adults,Health Outcomes,58,29.26,29.4,25.1,32.5
CA,California,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,58,51.74,51.8,49.5,54.8
CA,California,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,58,6.34,6.35,4.7,7.4
CA,California,CASTHMA,Current asthma among adults,Health Outcomes,58,9.98,10.0,7.9,11.3
CA,California,CHD,Coronary heart disease among adults,Health Outcomes,58,5.41,5.45,4.1,6.6
CA,California,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,58,69.96,70.0,68.0,71.9
CA,California,CHOLSCREEN,Cholesterol screening among adults,Prevention,58,83.68,83.75,81.1,86.6
CA,California,COGNITION,Cognitive disability among adults,Disability,58,15.9,16.1,10.8,19.7
CA,California,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,58,54.79,55.15,45.2,59.9
CA,California,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,58,5.42,5.25,3.3,7.8
CA,California,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,58,12.58,12.55,8.0,17.7
CA,California,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,58,61.25,61.95,49.5,75.0
CA,California,DEPRESSION,Depression among adults,Health Outcomes,58,22.7,22.65,17.9,27.7
CA,California,DIABETES,Diagnosed diabetes among adults,Health Outcomes,58,10.31,10.1,7.5,14.6
CA,California,DISABILITY,Any disability among adults,Disability,58,30.94,31.1,22.9,38.5
CA,California,EMOTIONSPT,Lack of social and emotional support among adults,Health-Related Social Needs,58,27.07,26.8,22.8,31.6
CA,California,FOODINSECU,Food insecurity in the past 12 months among adults,Health-Related Social Needs,58,18.04,17.15,9.8,31.3
CA,California,FOODSTAMP,Received food stamps in the past 12 months among adults,Health-Related Social Needs,58,16.62,16.3,8.5,28.7
CA,California,GHLTH,Fair or poor self-rated health status among adults,Health Status,58,21.9,21.55,15.0,32.4
CA,California,HEARING,Hearing disability among adults,Disability,58,5.97,6.0,4.6,7.3
CA,California,HIGHCHOL,High cholesterol among adults who have ever been screened,Health Outcomes,58,31.05,31.0,28.8,33.5
CA,California,HOUSINSECU,Housing insecurity in the past 12 months among adults,Health-Related Social Needs,58,15.39,14.65,9.5,25.5
CA,California,INDEPLIVE,Independent living disability among adults,Disability,58,8.61,8.7,5.4,11.3
CA,California,LACKTRPT,Lack of reliable transportation in the past 12 months among adults,Health-Related Social Needs,58,9.8,9.75,6.2,15.5
CA,California,LONELINESS,Loneliness among adults,Health-Related Social Needs,58,36.19,36.2,31.6,41.1
CA,California,LPA,No leisure-time physical activity among adults,Health Risk Behaviors,58,24.06,23.5,16.6,35.1
CA,California,MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,58,74.35,73.9,67.8,79.4
CA,California,MHLTH,Frequent mental distress among adults,Health Status,58,18.27,18.4,13.9,21.9
CA,California,MOBILITY,Mobility disability among adults,Disability,58,13.28,13.25,9.3,18.6
CA,California,OBESITY,Obesity among adults,Health Outcomes,58,29.98,30.35,17.1,37.9
CA,California,PHLTH,Frequent physical distress among adults,Health Status,58,13.62,13.75,9.8,17.0
CA,California,SELFCARE,Self-care disability among adults,Disability,58,3.85,3.8,2.4,6.1
CA,California,SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,58,8.22,8.0,4.7,13.3
CA,California,SLEEP,Short sleep duration among adults,Health Risk Behaviors,58,35.3,35.2,28.7,41.5
CA,California,STROKE,Stroke among adults,Health Outcomes,58,2.99,3.0,2.3,3.6
CA,California,TEETHLOST,All teeth lost among adults aged >=65 years,Health Outcomes,58,11.79,11.65,4.4,22.4
CA,California,VISION,Vision disability among adults,Disability,58,5.52,5.35,3.4,9.9
CO,Colorado,ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,64,12.35,11.7,6.6,22.3
CO,Colorado,ARTHRITIS,Arthritis among adults,Health Outcomes,64,22.44,22.5,19.7,25.7
CO,Colorado,BINGE,Binge drinking among adults,Health Risk Behaviors,64,19.13,19.1,16.6,24.4
CO,Colorado,BPHIGH,High blood pressure among adults,Health Outcomes,64,26.69,26.75,21.0,33.9
CO,Colorado,BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,64,50.74,50.8,48.0,53.2
CO,Colorado,CANCER,Cancer (non-skin) or melanoma among adults,Health Outcomes,64,7.25,7.35,5.9,7.9
CO,Colorado,CASTHMA,Current asthma among adults,Health Outcomes,64,11.0,11.0,10.1,12.2
CO,Colorado,CHD,Coronary heart disease among adults,Health Outcomes,64,5.25,5.2,3.9,7.7
CO,Colorado,CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,64,69.38,69.25,66.9,73.6
CO,Colorado,CHOLSCREEN,Cholesterol screening among adults,Prevention,64,83.26,83.05,77.3,87.0
CO,Colorado,COGNITION,Cognitive disability among adults,Disability,64,15.34,15.65,11.0,20.8
CO,Colorado,COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,64,56.45,56.25,47.7,63.8
CO,Colorado,COPD,Chronic obstructive pulmonary disease among adults,Health Outcomes,64,5.64,5.6,3.6,8.9
CO,Colorado,CSMOKING,Current cigarette smoking among adults,Health Risk Behaviors,64,12.78,13.0,7.6,20.5
CO,Colorado,DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,64,61.44,62.05,48.6,74.8
CO,Colorado,DEPRESSION,Depression among adults,Health Outcomes,64,23.21,23.1,20.3,26.3
CO,Colorado,DIABETES,Diagnosed diabetes among adults,Health Outcomes,64,8.57,8.25,6.0,13.1
CO,Colorado,DISABILITY,Any disability among adults,Disability,64,28.47,29.05,20.8,39.1
CO,Colorado,GHLTH,Fair or poor self-rated health status among adults,Health Status,64,16.98,16.75,10.7,27.8
