measure_id,measure,category,data_value_type,data_value_unit
SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,AgeAdjPrv,%
SHUTUTILITY,Utility services shut-off threat in the past 12 months among adults,Health-Related Social Needs,CrdPrv,%
CHOLSCREEN,Cholesterol screening among adults,Prevention,CrdPrv,%
CHOLSCREEN,Cholesterol screening among adults,Prevention,AgeAdjPrv,%
COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,CrdPrv,%
COLON_SCREEN,Colorectal cancer screening among adults aged 45–75 years,Prevention,AgeAdjPrv,%
ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,CrdPrv,%
ACCESS2,Current lack of health insurance among adults aged 18-64 years,Prevention,AgeAdjPrv,%
MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,AgeAdjPrv,%
MAMMOUSE,Mammography use among women aged 50-74 years,Prevention,CrdPrv,%
BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,AgeAdjPrv,%
BPMED,Taking medicine to control high blood pressure among adults with high blood pressure,Prevention,CrdPrv,%
DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,CrdPrv,%
DENTAL,Visited dentist or dental clinic in the past year among adults,Prevention,AgeAdjPrv,%
CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,AgeAdjPrv,%
CHECKUP,Visits to doctor for routine checkup within the past year among adults,Prevention,CrdPrv,%
