stateabbr,statedesc,locationname,locationid,totalpopulation,health_burden_score,burden_percentile,burden_category,indicator_count,indicator_completeness,top_indicator_1,top_indicator_2,top_indicator_3
MO,Missouri,Mississippi,29133,11822,1.5769667033864307,96.85385656292289,Very High,11,1.0,LPA,COPD,CSMOKING
LA,Louisiana,Evangeline,22039,31754,1.562567759445122,96.82002706359944,Very High,11,1.0,COPD,BPHIGH,STROKE
AL,Alabama,Sumter,1119,11727,1.5620582783208052,96.78619756427604,Very High,11,1.0,BPHIGH,DIABETES,STROKE
SC,South Carolina,Allendale,45005,7369,1.5555020226397729,96.75236806495263,Very High,11,1.0,STROKE,DIABETES,BPHIGH
GA,Georgia,Taylor,13269,7758,1.5542528157866604,96.71853856562925,Very High,11,1.0,STROKE,DIABETES,COPD
WV,West Virginia,Summers,54089,11581,1.5511855078345678,96.6847090663058,Very High,11,1.0,MHLTH,DEPRESSION,COPD
LA,Louisiana,St. Landry,22097,81464,1.5349559768146803,96.6508795669824,Very High,11,1.0,STROKE,BPHIGH,GHLTH
TN,Tennessee,Pickett,47137,5128,1.527852001562796,96.617050067659,Very High,11,1.0,COPD,DEPRESSION,MHLTH
MT,Montana,Glacier,30035,13609,1.5265176780177063,96.5832205683356,Very High,11,1.0,CSMOKING,STROKE,MHLTH
MS,Mississippi,Tallahatchie,28135,11837,1.5112409307123746,96.54939106901216,Very High,11,1.0,BPHIGH,STROKE,DIABETES
GA,Georgia,Jenkins,13165,8627,1.510318095867983,96.51556156968876,Very High,11,1.0,STROKE,DIABETES,BPHIGH
TX,Texas,Hudspeth,48229,3451,1.4998253871866751,96.48173207036535,Very High,11,1.0,ACCESS2,GHLTH,DIABETES
LA,Louisiana,Catahoula,22025,8414,1.4968296015279172,96.44790257104194,Very High,11,1.0,STROKE,GHLTH,COPD
TN,Tennessee,Decatur,47039,11656,1.4877843028484887,96.41407307171856,Very High,11,1.0,DEPRESSION,COPD,CSMOKING
AR,Arkansas,Ashley,5003,18262,1.4781977673719886,96.38024357239512,Very High,11,1.0,LPA,BPHIGH,GHLTH
TX,Texas,Newton,48351,12039,1.4766851151852045,96.34641407307171,Very High,11,1.0,MHLTH,COPD,CSMOKING
AL,Alabama,Barbour,1005,24585,1.4761053695576911,96.31258457374832,Very High,11,1.0,BPHIGH,STROKE,DIABETES
MO,Missouri,Dunklin,29069,27032,1.4731422413774609,96.2787550744249,Very High,11,1.0,LPA,COPD,CSMOKING
