stateabbr,statedesc,locationname,locationid,totalpopulation,health_burden_score,burden_percentile,burden_category,indicator_count,indicator_completeness,top_indicator_1,top_indicator_2,top_indicator_3,OBESITY_z,DIABETES_z,BPHIGH_z,STROKE_z,COPD_z,DEPRESSION_z,CSMOKING_z,LPA_z,GHLTH_z,MHLTH_z,ACCESS2_z
SD,South Dakota,Ziebach,46137,2322,2.0305099956669737,98.81596752368064,Very High,11,1.0,CSMOKING,STROKE,DIABETES,2.1018172630266854,2.974938699523944,1.1736900840967994,3.445485030541501,2.465149184841344,-0.2782045018985782,4.081495215197352,2.0188803516711737,2.324125163733917,1.496141939328926,0.5320915222736446
WV,West Virginia,Calhoun,54013,5959,2.025206965036076,98.78213802435724,Very High,11,1.0,MHLTH,COPD,CSMOKING,0.5843712779506803,1.687420818595395,1.667873852413121,1.5037560852518244,3.3702517795986418,2.814725491581402,3.008703329863069,2.00032643909142,2.1307055572736378,3.545699630311376,-0.0365576465337383
MS,Mississippi,Coahoma,28027,20077,1.9930120330070376,98.74830852503383,Very High,11,1.0,STROKE,BPHIGH,DIABETES,1.9964390696186287,3.5757803772906,3.6875814272711342,3.93091726686392,1.8186473314432727,-1.6367812280066083,1.5971350596863825,2.798144680020824,2.582017972347625,0.7463037597012004,0.826946646840436
MS,Mississippi,Yazoo,28163,25796,1.9897922877297205,98.71447902571042,Very High,11,1.0,STROKE,BPHIGH,DIABETES,2.649783868748576,2.8891041741287062,3.236370160547536,3.2836742851006937,2.077248072802501,-1.5500635646380103,1.9923741753358544,2.83525250518033,2.582017972347625,0.4963576998252917,1.3955958156478194
AR,Arkansas,Lee,5077,8201,1.9710272090054968,98.680649526387,Very High,11,1.0,STROKE,BPHIGH,GHLTH,1.975363430937018,2.545766072547761,3.06448015417664,3.121863539659888,2.077248072802501,-0.6250751553729695,1.907680079125254,2.6311594668030422,2.775437578807905,1.2961850914281985,0.9111909681452336
MS,Mississippi,Claiborne,28021,8617,1.957137410243672,98.6468200270636,Very High,11,1.0,STROKE,BPHIGH,DIABETES,2.713010784793409,3.6186976399882185,3.8379851828456655,3.93091726686392,1.4307462194044305,-1.810216554743803,1.343052771054579,2.798144680020824,2.4745626354252472,0.5963361237756548,0.5952747632522429
NM,New Mexico,McKinley,35031,68797,1.9478899203515017,98.61299052774018,Very High,11,1.0,STROKE,GHLTH,CSMOKING,0.7951276647667921,2.8891041741287062,0.7009925665768385,3.93091726686392,2.465149184841344,0.2710073661025395,3.0369346952666034,0.8870916843062072,3.140785724343989,2.545915390807741,0.7637634058618381
LA,Louisiana,Concordia,22029,17688,1.9291363550564016,98.57916102841678,Very High,11,1.0,STROKE,BPHIGH,DIABETES,1.7435314054392947,2.4170142844549063,2.5917826366566805,2.636431303337469,2.2711986288219226,1.2538075509466453,2.0488369061429226,1.981772526511668,2.21666982681154,2.0960124830311067,-0.0365576465337383
MS,Mississippi,Issaquena,28055,1256,1.92222063941584,98.54533152909336,Very High,11,1.0,STROKE,BPHIGH,DIABETES,2.038590346981851,2.846186911431089,3.3008289129366206,3.445485030541501,1.947947702122887,-2.0125577692705305,2.161762367757057,2.798144680020824,2.667982241885527,0.1964224279742007,1.7536341811932086
LA,Louisiana,Morehouse,22067,23955,1.9138600262020653,98.51150202976996,Very High,11,1.0,BPHIGH,STROKE,DIABETES,1.532775018623183,2.4170142844549063,3.000021401787555,2.798242048778275,2.1418982581423087,1.051466336419918,2.0206055407393886,1.870449051033146,2.3026340963494416,1.9960340590807435,-0.0786798071861369
TN,Tennessee,Scott,47151,22171,1.9126069840206936,98.47767253044654,Very High,11,1.0,COPD,CSMOKING,MHLTH,1.1534135223541826,1.215330928921594,1.3455800904676936,1.5037560852518244,3.2409514089190283,2.785819603791871,2.924009233652468,1.2952777610607853,1.8728127486599304,2.8958398746340133,0.8058855665142367
