year,stateabbr,statedesc,locationname,locationid,totalpopulation,indicator_count,indicator_completeness,health_burden_score,burden_rank,burden_percentile,burden_category,high_burden_flag,very_high_burden_flag,priority_flag
2023,VA,Virginia,New Kent,51127,26134,11,1.0,-0.8540777793968665,2579.0,12.787550744248986,Very Low,False,False,False
2023,OR,Oregon,Multnomah,41051,789698,11,1.0,-0.8546660344503301,2580.0,12.753721244925575,Very Low,False,False,False
2023,TX,Texas,Sterling,48431,1397,11,1.0,-0.8555300905066164,2581.0,12.719891745602164,Very Low,False,False,False
2023,VA,Virginia,Henrico,51087,334760,11,1.0,-0.8558053235090761,2582.0,12.686062246278755,Very Low,False,False,False
2023,WA,Washington,Chelan,53007,79997,11,1.0,-0.8580844828625296,2583.0,12.652232746955344,Very Low,False,False,False
2023,MI,Michigan,Ottawa,26139,303372,11,1.0,-0.8614982788178686,2584.0,12.618403247631935,Very Low,False,False,False
2023,KS,Kansas,Miami,20121,35320,11,1.0,-0.8619168910896353,2585.0,12.584573748308523,Very Low,False,False,False
2023,CO,Colorado,Mesa,8077,159681,11,1.0,-0.8619550369343213,2586.0,12.550744248985117,Very Low,False,False,False
2023,SD,South Dakota,Brookings,46011,35980,11,1.0,-0.8632224336787305,2587.0,12.516914749661709,Very Low,False,False,False
2023,HI,Hawaii,Hawaii,15001,207615,11,1.0,-0.8639856413571668,2588.0,12.483085250338297,Very Low,False,False,False
2023,CA,California,Amador,6005,41811,11,1.0,-0.8672856610426827,2589.0,12.449255751014883,Very Low,False,False,False
2023,SD,South Dakota,Hamlin,46057,6451,11,1.0,-0.8673237933821752,2590.0,12.415426251691477,Very Low,False,False,False
2023,IL,Illinois,McLean,17113,170441,11,1.0,-0.8673728683208117,2591.0,12.381596752368065,Very Low,False,False,False
2023,MN,Minnesota,Douglas,27041,39953,11,1.0,-0.8688855495779152,2592.0,12.347767253044656,Very Low,False,False,False
2023,KS,Kansas,Hodgeman,20083,1655,11,1.0,-0.8692810169237339,2593.0,12.313937753721245,Very Low,False,False,False
2023,WY,Wyoming,Albany,56001,38257,11,1.0,-0.8713245402540519,2594.0,12.280108254397836,Very Low,False,False,False
2023,ND,North Dakota,Renville,38075,2279,11,1.0,-0.8716934028971576,2595.0,12.246278755074425,Very Low,False,False,False
2023,KS,Kansas,Douglas,20045,120553,11,1.0,-0.875238287899225,2596.0,12.212449255751014,Very Low,False,False,False
2023,MT,Montana,Sweet Grass,30097,3763,11,1.0,-0.8755806737355672,2597.0,12.178619756427606,Very Low,False,False,False
2023,NC,North Carolina,Moore,37125,106898,11,1.0,-0.8758386918388029,2598.0,12.144790257104194,Very Low,False,False,False
2023,MN,Minnesota,Chisago,27025,58535,11,1.0,-0.8758538149078365,2599.0,12.110960757780784,Very Low,False,False,False
2023,IA,Iowa,Mills,19129,14633,11,1.0,-0.8780342264397472,2600.0,12.077131258457374,Very Low,False,False,False
2023,MT,Montana,Park,30067,17903,11,1.0,-0.8792026345735483,2601.0,12.043301759133964,Very Low,False,False,False
2023,SD,South Dakota,Edmunds,46045,4057,11,1.0,-0.879483856022268,2602.0,12.009472259810556,Very Low,False,False,False
2023,IA,Iowa,Sioux,19167,36246,11,1.0,-0.8795164005750596,2603.0,11.975642760487144,Very Low,False,False,False
2023,NE,Nebraska,Buffalo,31019,50697,11,1.0,-0.8799243823707705,2604.0,11.941813261163734,Very Low,False,False,False
2023,MN,Minnesota,Wabasha,27157,21683,11,1.0,-0.8802110612335386,2605.0,11.907983761840326,Very Low,False,False,False
2023,GA,Georgia,Bryan,13029,49739,11,1.0,-0.880549472506711,2606.0,11.874154262516914,Very Low,False,False,False
